"station_id","year","extreme_type","month","day","flow","sym"
"05BB001",1909,"maximum",7,7,314,NA
"05BB001",1910,"maximum",6,12,230,NA
"05BB001",1911,"maximum",6,14,264,NA
"05BB001",1912,"maximum",8,25,174,NA
"05BB001",1913,"maximum",6,11,232,NA
"05BB001",1914,"maximum",6,18,214,NA
"05BB001",1915,"maximum",6,27,236,NA
"05BB001",1916,"maximum",6,20,309,NA
"05BB001",1917,"maximum",6,17,174,NA
"05BB001",1918,"maximum",6,15,345,NA
"05BB001",1919,"maximum",6,22,185,NA
"05BB001",1920,"maximum",7,3,248,NA
"05BB001",1921,"maximum",6,9,171,NA
"05BB001",1922,"maximum",6,5,209,NA
"05BB001",1923,"maximum",6,14,377,NA
"05BB001",1924,"maximum",7,5,167,NA
"05BB001",1925,"maximum",5,23,212,NA
"05BB001",1926,"maximum",7,7,130,NA
"05BB001",1927,"maximum",6,27,221,NA
"05BB001",1928,"maximum",5,28,289,NA
"05BB001",1929,"maximum",6,2,215,NA
"05BB001",1930,"maximum",6,8,263,NA
"05BB001",1931,"maximum",6,18,187,NA
"05BB001",1932,"maximum",6,3,279,NA
"05BB001",1933,"maximum",6,17,311,NA
"05BB001",1934,"maximum",5,31,269,NA
"05BB001",1935,"maximum",6,16,197,NA
"05BB001",1936,"maximum",6,1,219,NA
"05BB001",1937,"maximum",6,17,148,NA
"05BB001",1938,"maximum",6,23,220,NA
"05BB001",1939,"maximum",5,29,178,NA
"05BB001",1940,"maximum",5,26,204,NA
"05BB001",1941,"maximum",6,25,126,NA
"05BB001",1942,"maximum",7,5,166,NA
"05BB001",1943,"maximum",7,10,209,NA
"05BB001",1944,"maximum",6,12,158,NA
"05BB001",1945,"maximum",6,22,126,NA
"05BB001",1946,"maximum",5,29,204,NA
"05BB001",1947,"maximum",6,11,167,NA
"05BB001",1948,"maximum",6,9,292,NA
"05BB001",1949,"maximum",6,7,121,NA
"05BB001",1950,"maximum",6,21,286,NA
"05BB001",1951,"maximum",6,16,243,NA
"05BB001",1952,"maximum",6,30,155,NA
"05BB001",1953,"maximum",6,14,260,NA
"05BB001",1954,"maximum",7,8,286,NA
"05BB001",1955,"maximum",6,24,246,NA
"05BB001",1956,"maximum",6,5,257,NA
"05BB001",1957,"maximum",5,20,152,NA
"05BB001",1958,"maximum",5,26,191,NA
"05BB001",1959,"maximum",6,22,212,NA
"05BB001",1960,"maximum",7,1,182,NA
"05BB001",1961,"maximum",6,7,266,NA
"05BB001",1962,"maximum",6,26,184,NA
"05BB001",1963,"maximum",6,19,183,NA
"05BB001",1964,"maximum",6,14,246,NA
"05BB001",1965,"maximum",6,19,289,NA
"05BB001",1966,"maximum",6,1,225,NA
"05BB001",1967,"maximum",6,22,275,NA
"05BB001",1968,"maximum",6,27,191,NA
"05BB001",1969,"maximum",6,6,203,NA
"05BB001",1970,"maximum",6,5,155,NA
"05BB001",1971,"maximum",6,7,199,NA
