year,Range,Mean,Median,SD
1909,NA,NA,NA,NA
1910,NA,NA,NA,NA
1911,258.25,134.875,134.875,182.6103262414259
1912,168.2,89.9,89.9,118.9353605955773
1913,225.88,119.06,119.06,159.72127973441735
1914,206.84,110.58,110.58,146.2579666206255
1915,229.06,121.47,121.47,161.96987929859057
1916,302.03,157.985,157.985,213.56746112177296
1917,167.94,90.03,90.03,118.75151283246879
1918,338.97,175.515,175.515,239.687985618804
1919,180.44,94.78,94.78,127.59034759730064
1920,242.31,126.845,126.845,171.33904414931234
1921,164.63,88.685,88.685,116.41098938674132
1922,202.43,107.785,107.785,143.1396257155928
1923,370.57,191.715,191.715,262.0325599042989
1924,160.74,86.63,86.63,113.66034400792564
1925,206.56,108.72,108.72,146.05997672189326
1926,124.48,67.75999999999999,67.75999999999999,88.02065212210144
1927,214.52,113.74000000000001,113.74000000000001,151.68854670013818
1928,282.91,147.54500000000002,147.54500000000002,200.04757946548617
1929,210.1,109.95,109.95,148.56313472729363
1930,257,134.5,134.5,181.7264427649427
1931,182.3,95.85,95.85,128.9055662103076
1932,275.38,141.31,141.31,194.72306540315145
1933,305.73,158.135,158.135,216.18375621216316
1934,264.92,136.54000000000002,136.54000000000002,187.32672847194016
1935,191.05,101.475,101.475,135.09275054568988
1936,213.36,112.32,112.32,150.8683028339618
1937,142.85,76.575,76.575,101.01020369249831
1938,213.37,113.315,113.315,150.87537390177366
1939,172.51,91.745,91.745,121.98299082249132
1940,197.57,105.215,105.215,139.70308675902618
1941,119.86,66.07,66.07,84.75381879301959
1942,159.63,86.185,86.185,112.87545548080858
1943,203.96,107.02000000000001,107.02000000000001,144.22149909080824
1944,152.45,81.775,81.775,107.79842879188918
1945,119.01,66.495,66.495,84.15277802901102
1946,196.3,105.85,105.85,138.8050611469193
1947,159.69,87.155,87.155,112.91788188767977
1948,283.59,150.20499999999998,150.20499999999998,200.52841207669303
1949,114.91,63.545,63.545,81.25364022614617
1950,280.96,145.51999999999998,145.51999999999998,198.6687212421724
1951,238.75,123.625,123.625,168.82174400828822
1952,148.94,80.53,80.53,105.3164839899244
1953,254,133,133,179.60512242138307
1954,279.57,146.215,146.215,197.6858428163231
1955,239.26,126.37,126.37,169.18236846669336
1956,250.91,131.54500000000002,131.54500000000002,177.42016246751663
1957,146.14,78.93,78.93,103.33658500260206
1958,184.86,98.57,98.57,130.71575957014517
1959,205.32,109.34,109.34,145.18316431322194
1960,174.75,94.625,94.625,123.56691001234918
1961,258.41,136.79500000000002,136.79500000000002,182.72346332641573
1962,178.56,94.72,94.72,126.26098684866993
1963,176.57,94.715,94.715,124.85384435410869
1964,238.69,126.655,126.655,168.77931760141703
1965,281.13,148.435,148.435,198.7889293949741
1966,217.07,116.465,116.465,153.49166899216388
1967,267.47,141.265,141.265,189.12985076396586
1968,183.47,99.265,99.265,129.73288114429587
1969,195.5,105.25,105.25,138.23937572197005
1970,149.79,80.10499999999999,80.10499999999999,105.91752475393297
1971,193.59,102.205,102.205,136.88880176990375
1972,303.84,159.07999999999998,159.07999999999998,214.8473243957206
1973,208.29,110.85499999999999,110.85499999999999,147.283271453346
1974,310.91,161.54500000000002,161.54500000000002,219.8465693387095
1975,138.34,74.83,74.83,97.82115210934698
1976,185.05,98.475,98.475,130.85010985857062
1977,201.17,106.41499999999999,106.41499999999999,142.24867117129776
1978,183.25,97.375,97.375,129.57731765243483
1979,144.6,77.7,77.7,102.24764055957478
1980,185.86,97.07,97.07,131.42286635133172
1981,219.76,117.12,117.12,155.3937862335557
1982,185.85,99.075,99.075,131.41579528351986
1983,149.17,80.41499999999999,80.41499999999999,105.4791185495973
1984,214.09,112.955,112.955,151.38449078422798
1985,153.96,83.02000000000001,83.02000000000001,108.86616003148085
1986,307.45,159.275,159.275,217.39997987580404
1987,139.81,76.095,76.095,98.8605990776912
1988,238.89,124.555,124.555,168.92073895765432
1989,201.6,107.2,107.2,142.55272708720798
1990,230.88,123.56,123.56,163.2568136403501
1991,235.61,124.195,124.195,166.60142871536246
1992,124.12,68.94,68.94,87.76609368087428
1993,122.36,66.82,66.82,86.52158574598596
1994,139.65,77.175,77.175,98.74746199270136
1995,258.15,133.925,133.925,182.53961556330725
1996,224.49,118.755,118.755,158.73840130856806
1997,206.27,109.86500000000001,109.86500000000001,145.85491575534914
1998,126.75,69.625,69.625,89.6257845153949
1999,198.32,105.84,105.84,140.2334168449161
2000,145.12,80.44,80.44,102.61533608579178
2001,158.73,85.63499999999999,85.63499999999999,112.23905937774069
2002,220.42,115.78999999999999,115.78999999999999,155.8604767091388
2003,158.36,84.82,84.82,111.97742986870168
2004,154.2,84.9,84.9,109.03586565896563
2005,158.56,87.72,87.72,112.11885122493898
2006,160.17,87.91499999999999,87.91499999999999,113.25729314264932
2007,290.02,152.99,152.99,205.07510867972252
2008,156,85,85,110.30865786510141
2009,136.7,74.65,74.65,96.66149698820105
2010,131.6,72.2,72.2,93.05525240414964
2011,171.87,93.065,93.065,121.53044248253192
2012,325.88,169.06,169.06,230.4319578530721
2013,460.69,235.655,235.655,325.7570230248306
2014,171.91,92.045,92.045,121.55872675377938
2015,144.41,78.795,78.795,102.11329027114932
2016,99.3,57.35,57.35,70.21570337182416
2018,192.23,102.88499999999999,102.88499999999999,135.92713654749002
